last_name, first_name,player_id,year,meatball_swing_percent,meatball_percent,
Foster, Matt,641582,2022,87.9,8.6,
Gott, Trevor,641627,2022,78.3,6,
Hatch, Thomas,641672,2022,50,8.5,
Hendrix, Ryan,641682,2022,83.3,4.2,
Hudson, Dakota,641712,2022,80.3,6.3,
Jefferies, Daulton,641726,2022,95.1,6.7,
Jimenez, Joe,641729,2022,79.1,9.2,
Keller, Brad,641745,2022,76.2,7.2,
Kinley, Tyler,641755,2022,85.7,7.4,
Kuhl, Chad,641771,2022,79.2,7.3,
Lauer, Eric,641778,2022,76.9,8.7,
Littell, Zack,641793,2022,86.8,7,
Mahle, Tyler,641816,2022,73.7,5.6,
Mayza, Tim,641835,2022,84.1,6,
McKay, David,641853,2022,75,5.9,
Middleton, Keynan,641871,2022,90.9,4.6,
Murphy, Patrick,641907,2022,81.8,7.7,
Ober, Bailey,641927,2022,81.3,7.5,
Pagan, Emilio,641941,2022,83.1,6.8,
Rogers, Josh,642028,2022,70.6,8.1,
Speier, Gabe,642100,2022,64.7,5.7,
Sulser, Cole,642121,2022,78.9,6.1,
Taylor, Blake,642130,2022,88.2,5.6,
Trivino, Lou,642152,2022,68,7.9,
VanMeter, Josh,642165,2022,66.7,8.1,
Widener, Taylor,642203,2022,89.7,8.8,
Williams, Devin,642207,2022,65.2,6.2,
Yacabonis, Jimmy,642231,2022,50,11,
Yarbrough, Ryan,642232,2022,80,8.1,
Soto, Gregory,642397,2022,87.8,8.2,
Loaisiga, Jonathan,642528,2022,80.4,6,
Barria, Jaime,642545,2022,65.7,9.1,
Hernandez, Jonathan,642546,2022,73.5,6.7,
Peralta, Freddy,642547,2022,74.2,6.6,
Bautista, Felix,642585,2022,81.8,6.6,
Santana, Dennis,642701,2022,67.7,6.3,
Acevedo, Domingo,642758,2022,84.1,8.8,
Guerra, Javy,642770,2022,93.8,9.7,
Brault, Steven,643230,2022,73.3,9.6,
Cimber, Adam,643256,2022,74.2,8.5,
Dunn, Justin,643290,2022,83.8,6.9,
Fry, Paul,643316,2022,81.8,9.5,
Green, Chad,643338,2022,78.9,7.9,
Herget, Kevin,643361,2022,81.8,9.9,
Jax, Griffin,643377,2022,56.3,6.9,
Knight, Dusten,643400,2022,90,10.4,
Leiter Jr., Mark,643410,2022,68,6.9,
Pruitt, Austin,643493,2022,85.1,5.8,
Rogers, Tyler,643511,2022,76.2,8.7,
Zeuch, T.J.,643615,2022,72,10,
Arano, Victor,644364,2022,70.6,5,
Severino, Anderson,644429,2022,50,6,
Alcantara, Sandy,645261,2022,78,7.3,
Diaz, Jhonathan,646242,2022,66.7,8.9,
Pop, Zach,647315,2022,77.8,5,
Ruiz, Norge,650204,2022,89.7,7.9,
Hernandez, Darwinzon,650382,2022,70,5.5,
Garcia, Bryan,650530,2022,85.7,6.6,
Abreu, Bryan,650556,2022,77.1,8.1,
King, Michael,650633,2022,60.3,8.2,
Civale, Aaron,650644,2022,74.7,6,
Quijada, Jose,650671,2022,80,7.2,
Cabrera, Genesis,650893,2022,69.5,8,
Castillo, Diego,650895,2022,73.2,8.5,
Sanchez, Cristopher,650911,2022,67.4,6.9,
Diplan, Marcos,650959,2022,50,6.6,
Rodriguez, Manuel,655889,2022,91.7,5.9,
Abreu, Albert,656061,2022,68.1,6.6,
Beeks, Jalen,656222,2022,75,7.2,
Bielak, Brandon,656232,2022,80,8.8,
Bird, Jake,656234,2022,73.4,8.6,
Brigham, Jeff,656257,2022,75.6,9.8,
Burke, Brock,656271,2022,82.4,6.4,
Carlton, Drew,656290,2022,81.8,9.2,
Cease, Dylan,656302,2022,76.9,6.7,
Coonrod, Sam,656322,2022,89.5,8.1,
Davidson, Tucker,656353,2022,73.5,7.5,
Davis, Austin,656354,2022,69.9,8.3,
Faedo, Alex,656412,2022,78.5,8.2,
Feyereisen, J.P.,656420,2022,80.8,7.6,
Flaherty, Jack,656427,2022,88,7.6,
Gilbert, Tyler,656457,2022,76.6,8.3,
Gilbreath, Lucas,656458,2022,72.4,7.3,
Ginkel, Kevin,656464,2022,66.7,7.5,
Griffin, Foster,656492,2022,50,9,
Hentges, Sam,656529,2022,69,8.9,
Hoffman, Jeff,656546,2022,81.3,7.5,
Houck, Tanner,656557,2022,73.8,6.6,
Jackson, Andre,656578,2022,92.3,8.3,
Keller, Mitch,656605,2022,70.1,7,
Kopech, Michael,656629,2022,79.1,7.6,
Lange, Alex,656638,2022,70.5,5.8,
Logue, Zach,656657,2022,80,7.8,
Martin, Brett,656685,2022,82.8,7.7,
Martin, Corbin,656686,2022,92.3,6.1,
Megill, Trevor,656730,2022,76.5,8.8,
Megill, Tylor,656731,2022,82,6.3,
Montgomery, Jordan,656756,2022,78.1,6.6,
